_____,______,_______,______,________,______,_______,_______ ________,____,____,____ ________,web,_______
,A & S Uniforms,____ __________,", _______ _____",___ _____,_____,___ ____,____ _______-____ ____ ____,01/269090-03/821600,01/260612,sales@as-uniforms.com,,
,A Pack,____ ____,", _____ _____",___ _____,_____,________,____ ______-_____ ____ ____-_ ____,01/694197-70/186023,,sbarada@apack-lb.com,www.apack-lb.com,
,A.C.S.C,____ ____,", _____ ______",___ _____,_____,________,_____ _____-_ ____,01/253916,01/254327,info@acsclb.com,www.acsclb.com,
,Abi Nader for Trading & industry-Sanic,____ ___ ____,", _____ _____",___ _____,______,_____,______ _____-_____ ___ ____,09/831038-03/655775,,josephsanic@hotmail.com,www.sanic-lebanon.simplesite.com,
,Achek Printing Press,____ ______,", _____",___ _____,_____,______,______-____ ________-_ 1,01/878770-03/651509,,,,
,Adida,___ ____,", ______",___ _____,_____,____ _____,_____ ____ _______,05/803209,,,,
,Adon & Myrrh,___ _____,", ____ ______",_____,_____,________,_______-____ ____ ___-_____ ____-_ 4,01/563412-03/648427,01/563413,pia.a@adonandmyrrh.com,www.adonandmyrrh.com,
,Advanced Concrete Co-ACC,_____ _____,", _____ ____",___ _____,_____,________,_____ ___ ______-_ 1,05/435068-437430-03/051344-03/495068-71/770777,,info@acc-concrete.com,www.acc-concrete.com,
,Al Naim Trading,_____ ____,", ____ _______, _______",_______,______,_______,_____-______ _____,07/769331-03/375331,,info@alnaiimest.com,www.alnaiimest.com,
,Alennco,____ ________,", ________",___ _____,_____,__ ____,_____ _______ _______-_____ ____ _____,03/130329-03/135529,,,,
,Alexco,____ ______,", ________",___ _____,_____,_____,_______ ________-_____ ______,05/550250-03/701705,05/555250,info@alexcolebanon.com,,
,All Bags Packaging industries,____ ____,", _____ _____",___ _____,_____,_____,______ _____-_____ ___ _____-_ 1,03/182375,,,,
,Allied Diesel sal,___ ____,", ______ ________",___ _____,_____,___ _____,______ _____-_____ ______-_ ____,01/896441-887583,,mailbox@allieddiesel.com,www.allieddiesel.com,
,Alma Trading & Contracting Co,____ ___,", ____",___ _____,_____,_____ ____,____ ____ ____,04/921769-927567-03/675948,04/921769,alma_tcc@hotmail.com,,
,Alpha Pack,____ ____,", _____ _____",_____,_____,___ ________,____ ________-_____ ___ _____-_ 2 ___ _____,01/305004-705508-03/163176,,alphapack.lb@hotmail.com,www.alphapack-lb.com,
,AlQabass,_______ _______,", _____",_____,_____,______ _______,_____ _______ _______-____ _____ ___,01/302060-316213-03/833033,01/304271,info@qabass.com,www.qabass.com,
,Alucon Aluminium Contracting,____ _____,", ________",___ _____,_____,____,___ _______ _ _ __ _____ ____ _________,05/808216,05/808217,info@alucom.com.lb,www.alucom.com.lb,
,Alumex,___ ______,", ________, ____",___ _____,_____,___ _____,_____-____ _____ ____-_____ ____ ______,78/830808-70/700292,,info@alumex-lb.com,www.alumex-lb.com,
,Alumtech Est,_______,", ____",___ _____,_____,______,___ MP___-___ _____ ___,05/813367-76/721073-71/476518,,alumtech1st@hotmail.com,www.alumtech-lb.com,
,Amaretti Caffe,___ ____,", ______",___ _____,_____,________,____ _______-_____ ____,05/950650-456430,05/952338,info@amaretticaffe.com.lb,www.amaretticaffe.com.lb,
,Amouri Print,_____ _____,", _____",_____,_____,____ ______,____ ______ ______,71/589742,,,,
,Antique Wood Gallery,____ _____,", _______",___ _____,_____,________,____ ____ _____-_____ _____,05/951332-03/259494-03/811466,,azarco@sodetel.net.lb,,
,Antoine Farah Est,______ ___,", _____",___ _____,_____,_______,___ ____ _______-_____ ___,04/417852-03/376299,04/416108,afraf@inco.com.lb,,
,Apollo Metro Solutions,___ ____,", ____ _____",_____,_____,___ _____,_____ ______-_ 5,03/996504,,tomotrok@vipernetworks.com,www.apollometro.com,
,Aquabuild,____ ____,", _____ ____",___ _____,_____,_____,_______ ________-____ ___ ____-_____ _____,01/900670-03/359331,01/900670,info@aquabuild.net,www.aquabuild.net,
,Aquasafe- Masterkool,____ ______,", _____ ____",___ _____,_____,______,____ ___ ____- ____ ____,01/258702-03/273000,01/259014,info@polymarket.com,www.polymarket.com,
